Article/Prefix,Word,English Translation,Example Sentence,English Translation (Sentence),POS
der,"Bauherr, -en",Building owner,Der Bauherr ist mit dem Fortschritt sehr zufrieden.,The client is very satisfied with the progress.,N
der,"Baumarkt, -ä-e",DIY store,Ich muss am Wochenende in den Baumarkt fahren.,I have to go to the hardware store this weekend.,N
der,"Baustoff, -e",Building material,Holz ist ein sehr beliebter Baustoff.,Wood is a very popular building material.,N
,beanspruchen,claim,Er möchte sein Recht auf Urlaub beanspruchen.,He wants to claim his right to vacation.,V
,bearbeiten,edit,Bitte bearbeiten Sie diesen Antrag so schnell wie möglich.,Please process this request as quickly as possible.,V
die,"Bearbeitung, -en",Processing,Die Bearbeitung Ihrer Anfrage dauert etwa zwei Wochen.,Processing your request will take approximately two weeks.,N
,beaufsichtigen,supervise,Der Lehrer muss die Kinder auf dem Schulhof beaufsichtigen.,The teacher must supervise the children in the schoolyard.,V
,beauftragen,give an order,Wir werden eine externe Firma mit dieser Aufgabe beauftragen.,We will commission an external company with this task.,V
,bedauerlicherweise,Unfortunately,Bedauerlicherweise müssen wir den Termin absagen.,"Unfortunately, we have to cancel the appointment.",Adv
,bedauern,regret,"Ich bedauere sehr, dass ich Ihnen nicht helfen kann.",I am very sorry that I cannot help you.,V
das,"Bedauern, -",Regret,Zu meinem großen Bedauern kann ich nicht an der Feier teilnehmen.,"To my great regret, I cannot attend the celebration.",N
,bedenken,consider,"Man muss bedenken, dass das Projekt sehr komplex ist.",It must be remembered that the project is very complex.,V
die,"Bedienbarkeit, -",Usability,Die einfache Bedienbarkeit der Software ist ein großer Vorteil.,The ease of use of the software is a major advantage.,N
die,"Bedienung, -en",Operation,Die Bedienung in diesem Restaurant ist sehr freundlich.,The service in this restaurant is very friendly.,N
,bedürfen,require,Diese Angelegenheit bedarf einer genauen Prüfung.,This matter requires careful examination.,V
das,"Bedürfnis, -se",Need,"Er hat das Bedürfnis, sich nach der Arbeit auszuruhen.",He has a need to rest after work.,N
,beeinträchtigen,impair,Der Lärm kann die Konzentration beeinträchtigen.,The noise can impair concentration.,V
die,"Beendigung, -en",Ending,Nach Beendigung des Studiums möchte sie reisen.,She wants to travel after finishing her studies.,N
,befolgen,follow,Sie müssen die Anweisungen des Arztes genau befolgen.,You must follow the doctor's instructions exactly.,V
die,"Befragung, -en",Survey,Die Ergebnisse der Befragung werden morgen veröffentlicht.,The survey results will be published tomorrow.,N
,befreiend,liberating,"Es war ein befreiendes Gefühl, endlich die Wahrheit zu sagen.",It was a liberating feeling to finally tell the truth.,Adj
,befriedigen,satisfy,Dieses Ergebnis kann uns nicht befriedigen.,This result is not satisfactory.,V
,befristet,temporary,Sein Arbeitsvertrag ist auf ein Jahr befristet.,His employment contract is limited to one year.,Adj
,befürchten,fear,"Ich befürchte, dass wir den Termin nicht einhalten können.",I'm afraid we won't be able to keep the appointment.,V
sich,sich begeben: sich auf die Suche begeben,to embark: to set out on a search,Er hat sich sofort auf die Suche nach einer neuen Wohnung begeben.,He immediately began looking for a new apartment.,V
die,"Begegnung, -en",Encounter,Die Begegnung mit dem berühmten Autor war sehr inspirierend.,Meeting the famous author was very inspiring.,N
das,"Begleitprogramm, -e",Accompanying program,Das Begleitprogramm der Konferenz bot viele interessante Workshops.,The conference's accompanying program offered many interesting workshops.,N
die,"Begrüßung, -en",Greetings,Die Begrüßung der Gäste fand im großen Saal statt.,The guests were welcomed in the main hall.,N
,behaftet mit,afflicted with,Dieses Projekt ist leider mit vielen Risiken behaftet.,"Unfortunately, this project is fraught with many risks.",Adv
der,"Behälter, -",Containers,Bitte werfen Sie den Müll in den dafür vorgesehenen Behälter.,Please dispose of the rubbish in the designated container.,N
die,"Behandlungskosten, -",Treatment costs,Die Krankenkasse übernimmt die gesamten Behandlungskosten.,The health insurance company covers all treatment costs.,N
,beheben,fix,Der Techniker konnte das Problem am Computer schnell beheben.,The technician was able to quickly fix the problem on the computer.,V
,beherrschen,command,"Um in diesem Beruf erfolgreich zu sein, muss man mehrere Sprachen beherrschen.","To be successful in this profession, one must be proficient in several languages.",V
,beigefügt,attached,Weitere Informationen finden Sie im beigefügten Dokument.,Further information can be found in the attached document.,Adj
die,"Beihilfe, -n",Aid,Studenten können unter bestimmten Voraussetzungen staatliche Beihilfe beantragen.,Students can apply for government assistance under certain conditions.,N
,beilegen,enclose,Wir konnten den Streit zwischen den beiden Abteilungen glücklich beilegen.,We were able to happily resolve the dispute between the two departments.,V
,beiliegen,enclosed,Dem Brief sollte eigentlich eine Rechnung beiliegen.,The letter should actually include an invoice.,V
,beimessen,during the meal,Man sollte diesem kleinen Fehler nicht zu viel Bedeutung beimessen.,One shouldn't attach too much importance to this small mistake.,V
,beinhalten,include,Das Angebot beinhaltet auch die Kosten für die Anreise.,The offer also includes travel costs.,V
,beitragen zu,contribute to,Jeder Mitarbeiter kann zu einem guten Betriebsklima beitragen.,Every employee can contribute to a good working environment.,Adv
die,"Bejahung, -en",Affirmation,Eine eindeutige Bejahung dieser Frage ist momentan nicht möglich.,A clear affirmative answer to this question is not currently possible.,N
,bekämpfen,fight,"Die Regierung hat neue Maßnahmen beschlossen, um die Arbeitslosigkeit zu bekämpfen.",The government has decided on new measures to combat unemployment.,V
die,"Bekanntheit, -en",Popularity,Durch die Werbekampagne konnte die Marke ihre Bekanntheit deutlich steigern.,The advertising campaign significantly increased the brand's awareness.,N
der,"Bekanntheitsgrad, -e",Level of awareness,Der Bekanntheitsgrad des Schauspielers ist in den letzten Jahren enorm gestiegen.,The actor's popularity has increased enormously in recent years.,N
,beklagen,complain,Viele Bürger beklagen sich über den zunehmenden Lärm in der Innenstadt.,Many citizens are complaining about the increasing noise in the city center.,V
,belanglos,irrelevant,Für mich ist dieses Thema völlig belanglos und uninteressant.,"For me, this topic is completely irrelevant and uninteresting.",Adv
,belastend,stressful,Die ständigen Überstunden sind für viele Mitarbeiter sehr belastend.,The constant overtime is very stressful for many employees.,Adj
,belästigen,harass,Bitte belästigen Sie die anderen Gäste nicht mit lauter Musik.,Please do not disturb the other guests with loud music.,V
die,"Belastung, -en",Load,Die finanzielle Belastung durch den Hauskauf ist enorm.,The financial burden of buying a house is enormous.,N
,belegen,prove,"Können Sie Ihre Behauptungen auch mit Fakten belegen""","Can you back up your claims with facts""",V
die,"Belegschaft, -en",Workforce,Die gesamte Belegschaft wurde über die geplante Umstrukturierung informiert.,The entire workforce was informed about the planned restructuring.,N
die,"Beliebtheit, -",Popularity,Das neue Smartphone erfreut sich großer Beliebtheit bei den Kunden.,The new smartphone is very popular with customers.,N
,benennen,name,Der Chef wird morgen seinen Nachfolger offiziell benennen.,The boss will officially name his successor tomorrow.,V
,benutzerfreundlich,user-friendly,Die neue Software ist sehr übersichtlich und benutzerfreundlich gestaltet.,The new software is very clearly laid out and user-friendly.,Adj
die,"Benutzung, -en",Usage,Die Benutzung des Fitnessstudios ist für Hotelgäste kostenlos.,Use of the gym is free for hotel guests.,N
die,"Beobachtung, -en",Observation,Der Patient muss zur weiteren Beobachtung im Krankenhaus bleiben.,The patient must remain in the hospital for further observation.,N
die,"Berechnung, -en",Calculation,Bei der Berechnung der Kosten ist uns leider ein Fehler unterlaufen.,"Unfortunately, we made a mistake in calculating the costs.",N
,berechtigt,justified,Ihre Kritik an der Vorgehensweise ist durchaus berechtigt.,Their criticism of the procedure is entirely justified.,Adj
,berücksichtigen,take into account,Wir müssen bei der Planung auch die Wünsche der Kunden berücksichtigen.,We must also take the wishes of the customers into account when planning.,V
die,"Berücksichtigung, -en",Consideration,Unter Berücksichtigung aller Umstände war das die beste Entscheidung.,"Considering all the circumstances, this was the best decision.",N
der/die,"Berufsberater/in, -/-nen",Career counselor,"Der Berufsberater half mir dabei, den passenden Studiengang zu finden.",The career advisor helped me find the right course of study.,N
die,"Berufsgenossenschaft, -en",Professional association,Arbeitsunfälle müssen umgehend der Berufsgenossenschaft gemeldet werden.,Workplace accidents must be reported to the employers' liability insurance association immediately.,N
der/die,"Berufsumsteiger/in, -/-nen",Career changer,Als Berufsumsteiger muss man sich oft neue Fähigkeiten aneignen.,Career changers often have to acquire new skills.,N
der,"Berufswiedereinstieg, -e",Re-entry into the workforce,Nach der Elternzeit planen viele Mütter den Berufswiedereinstieg.,"After parental leave, many mothers plan to return to work.",N
,beschaffen,procure,Wir müssen dringend neue Materialien für die Produktion beschaffen.,We urgently need to procure new materials for production.,V
die,"Beschaffung, -en",Procurement,Die Beschaffung von Rohstoffen ist in Krisenzeiten oft schwierig.,Sourcing raw materials is often difficult in times of crisis.,N
das,"Beschaffungsmanagement, -s",Procurement management,Ein effizientes Beschaffungsmanagement kann die Kosten deutlich senken.,Efficient procurement management can significantly reduce costs.,N
der,"Beschaffungsmarkt, -ä-e",Procurement market,Der Beschaffungsmarkt für elektronische Bauteile ist derzeit sehr angespannt.,The procurement market for electronic components is currently very tight.,N
die,"Beschaffungsoption, -en",Procurement option,Wir müssen alle möglichen Beschaffungsoptionen sorgfältig prüfen.,We need to carefully examine all possible procurement options.,N
die,"Beschaffungsstrategie, -n",Procurement strategy,Das Unternehmen hat seine Beschaffungsstrategie grundlegend überarbeitet.,The company has fundamentally revised its procurement strategy.,N
der/die,"Beschäftigte, -n",Employees,In diesem Betrieb arbeiten rund 500 Beschäftigte.,This company employs approximately 500 people.,N
,Bescheid bekommen,Receive notification,"Sobald eine Entscheidung getroffen wurde, werden Sie Bescheid bekommen.",You will be notified as soon as a decision has been made.,V
die,"Bescheinigung, -en",Certificate,Für diesen Kurs erhalten Sie am Ende eine offizielle Bescheinigung.,You will receive an official certificate upon completion of this course.,N
die,"Bescheinigung, -en",Certificate,Bitte reichen Sie die ärztliche Bescheinigung rechtzeitig ein.,Please submit the medical certificate in good time.,N
der,"Beschluss, -ü-e",Decision,Der Vorstand hat einen neuen Beschluss zur Arbeitszeit gefasst.,The board has passed a new resolution regarding working hours.,N
die,"Beschwerde, -n",Complaints,Wir haben Ihre Beschwerde erhalten und werden sie umgehend prüfen.,We have received your complaint and will review it immediately.,N
das,"Beschwerdemanagement, -s",Complaint management,Ein gutes Beschwerdemanagement ist wichtig für die Kundenzufriedenheit.,Good complaint management is important for customer satisfaction.,N
,beseitigen,eliminate,Die Techniker konnten die Störung am Server schnell beseitigen.,The technicians were able to quickly resolve the server issue.,V
die,"Beseitigung, -en",Removal,Die Beseitigung der Schäden wird noch einige Wochen dauern.,The repairs will take several more weeks.,N
die,"Besetzung, -en",Cast,Die Besetzung der offenen Stelle wird nächste Woche bekannt gegeben.,The appointment to the open position will be announced next week.,N
die,"Besichtigung, -en",Visit,Die Besichtigung der neuen Produktionshalle war sehr informativ.,The tour of the new production hall was very informative.,N
der,"Besichtigungstermin, -e",Viewing appointment,Wir haben für morgen einen Besichtigungstermin für die Wohnung vereinbart.,We have arranged a viewing appointment for the apartment for tomorrow.,N
der,"Besitz, -e",Possession,Das Gebäude befindet sich seit vielen Jahren im Besitz der Familie.,The building has been owned by the family for many years.,N
die,"Bestandsaufnahme, -n",Inventory,Am Ende des Jahres führen wir immer eine genaue Bestandsaufnahme durch.,"At the end of the year, we always conduct a thorough inventory.",N
der,"Bestandteil, -e",Component,Ein wichtiger Bestandteil unserer Strategie ist die Nachhaltigkeit.,Sustainability is an important part of our strategy.,N
das,"Bestehen, -",Exist,Das Bestehen der Prüfung ist Voraussetzung für die Einstellung.,Passing the exam is a prerequisite for employment.,N
,besteigen,climb,Die Bergsteiger wollen morgen den Gipfel des Berges besteigen.,The mountaineers plan to reach the summit of the mountain tomorrow.,V
